s/n,layer,level,class,id,metric,value,name,type,function_name
1,1,class,0,NA,area_mn,0.55173357,patch area,area and edge metric,lsm_c_area_mn
2,1,class,1,NA,area_mn,0.482687216,patch area,area and edge metric,lsm_c_area_mn
3,1,class,2,NA,area_mn,2.001850355,patch area,area and edge metric,lsm_c_area_mn
4,1,class,3,NA,area_mn,0.559437054,patch area,area and edge metric,lsm_c_area_mn
